code_alpha2,change_rate_male,change_rate_female,change_rate_avg
CI,-3.312753299999997,-2.468213700000007,-2.890483500000016
HR,3.4129410999999834,1.1083892000000048,2.260665149999994
CU,1.7206052000000227,-1.118395300000003,0.301104950000024
CY,2.881451300000009,2.2157308999999827,2.54859110000001
CZ,2.136459599999995,3.2878445999999997,2.712152099999969
CD,-2.6702609999999822,-3.3324704999999994,-3.001365749999991
DK,2.333243699999997,0.27186620000000516,1.302554950000001
DJ,-1.9036049999999989,-1.9205393999999956,-1.912072199999983
DM,2.130663900000002,1.0281956999999977,1.5794297999999856
DO,3.0833832000000143,1.6032692999999938,2.3433262500000183
EC,2.5215728000000013,1.7689164000000233,2.1452446000000123
EG,-3.3753743999999983,-1.6554418000000055,-2.515408100000002
SV,2.0013804000000164,1.7642978000000085,1.8828391000000124
GQ,-2.2795283000000097,-2.006495599999994,-2.143011950000016
ER,-1.1501890000000117,-2.093481500000024,-1.6218352500000037
EE,2.2557780999999864,2.55200499999998,2.4038915499999973
SZ,-1.5344933000000083,-0.9179096000000015,-1.2262014499999907
ET,-2.4216345000000103,-1.6645424000000162,-2.043088449999999
FJ,-0.14361269999997717,-0.3878194999999778,-0.2657160999999917
FI,1.3657670999999993,0.863899100000026,1.1148331000000269
FR,4.118301199999991,1.9931181000000038,3.055709649999983
PF,2.6650804999999878,0.8248925999999983,1.744986549999993
GA,-2.4103437999999926,-1.1537323999999956,-1.782038099999994
GM,-2.5005821999999966,-1.404002399999996,-1.952292299999982
GE,0.014624499999996488,0.10800270000001433,0.06131360000000541
DE,2.172639700000019,0.9093287000000032,1.540984199999997
GH,-0.7078229999999905,-2.000762800000018,-1.3542929000000186
GR,2.7187074999999936,3.540763499999997,3.129735499999981
GL,5.023812900000024,3.2858241000000135,4.154818500000005
GD,2.257680800000003,0.4107740999999976,1.334227449999986
GT,0.07727700000000937,0.277855599999981,0.17756629999996676
GN,-3.087542300000024,-2.361693400000007,-2.7246178500000156
GW,-2.367265500000002,-1.0198124000000064,-1.6935389500000042
GY,0.8109838999999965,-0.21421809999998231,0.2983829000000071
HT,1.2245432999999935,-0.5945140000000038,0.31501464999999484
HN,-0.8346367000000043,0.46017009999999914,-0.1872333000000026
HK,5.409497299999998,2.780641900000006,4.095069599999988
HU,1.9664189999999735,1.419005999999996,1.6927124999999705
IS,-0.43194590000001654,-1.6134754999999927,-1.0227107000000046
IN,0.8507285000000024,0.31725309999998785,0.5839907999999809
ID,1.4624833000000024,1.62847450000001,1.5454789000000346
IR,3.5831732999999986,2.8698435000000018,3.2265084
IQ,0.514630799999992,0.6724911999999961,0.593560999999994
IE,2.8889178000000015,2.421455199999997,2.655186499999985
IL,3.2472257999999954,1.2685544999999934,2.2578901500000086
IT,4.013720599999999,4.2870895000000075,4.150405049999989
JM,1.0160155000000088,0.1148245999999915,0.5654200500000002
JP,0.7358597000000202,1.121380099999982,0.928619900000001
JO,0.442196899999999,0.7706633000000238,0.6064301000000114
KZ,0.3318127000000004,-0.256807699999996,0.037502500000016425
KE,-2.453226199999989,-2.3991122999999845,-2.4261692499999867
KI,-0.24509899999998197,-2.1934894000000043,-1.219294199999979
KW,0.9368858999999929,0.6069286000000034,0.7719072499999982
KG,1.7197082000000137,0.412049699999983,1.0658789500000125
LA,0.3540807999999913,-0.6079779000000087,-0.1269485500000087
LV,3.6108899999999835,3.677695099999994,3.6442925499999888
LB,1.7933966999999882,3.486803600000002,2.6401001500000234
LS,-1.8015605999999877,-2.80912330000001,-2.3053419499999848
LR,-1.5620532000000082,-2.2168591999999876,-1.8894561999999837
LY,1.2198893000000055,2.5964723000000163,1.9081807999999967
LT,1.8913236999999867,2.014912200000026,1.953117949999978
LU,1.0624156000000085,0.057815299999987246,0.5601154500000121
